,name,last_rs,high_rs,low_rs,last_usd,high_usd,low_usd,chg,chg_perc,vol,time
54,Texas Instruments,565.65323,571.7298900000001,559.2622600000001,107.98,109.14,106.76,-2.97,-2.68,5.38M,1586980799
55,AMD,288.065115,291.103445,279.788285,54.99,55.57,53.41,0.06,0.11,83.81M,1586980799
56,Walgreens Boots,227.56044,239.92329999999998,226.774665,43.44,45.8,43.29,-2.94,-6.34,6.05M,1586980799
57,PepsiCo,707.354655,720.60806,700.38745,135.03,137.56,133.7,-3.37,-2.44,5.77M,1586980799
58,ADP,721.0271399999999,736.84741,718.61743,137.64,140.66,137.18,-6.23,-4.33,2.15M,1586980799
59,United Airlines Holdings,166.89861,170.7751,156.52638,31.86,32.6,29.88,0.96,3.11,46.78M,1586980799
60,Netflix,2235.529875,2278.64273,2159.571625,426.75,434.98,412.25,13.2,3.19,13.56M,1586980799
61,Cerner,357.318085,362.97566500000005,349.30318000000005,68.21,69.29,66.68,-0.74,-1.07,2.41M,1586980799
62,Booking,7462.7671,7543.4400000000005,7285.18195,1424.6,1440.0,1390.7,-24.8,-1.71,452.84K,1586980799
63,O’Reilly Automotive,1853.852765,1864.906,1804.66325,353.89,356.0,344.5,-2.46,-0.69,467.74K,1586980799
64,Seattle Genetics,655.0220400000001,665.1847300000001,638.8350750000001,125.04,126.98,121.95,1.25,1.01,756.26K,1586980799
65,Illumina,1541.638165,1550.07215,1510.05001,294.29,295.9,288.26,-3.59,-1.21,1.11M,1586980799
66,Maxim,272.978235,274.4974,267.37304,52.11,52.4,51.04,-1.09,-2.05,2.12M,1586980799
67,Alexion,507.82019,515.4684000000001,502.16261000000003,96.94,98.4,95.86,-2.46,-2.47,1.71M,1586980799
68,Broadcom,1348.59944,1374.16332,1341.8941600000003,257.44,262.32,256.16,-10.19,-3.81,2.59M,1586980799
69,NXP,456.48289,474.031865,450.82531,87.14,90.49,86.06,-5.14,-5.57,3.90M,1586980799
70,Tesla,3823.2144550000003,3945.271505,3719.335,729.83,753.13,710.0,19.94,2.81,23.58M,1586980799
71,Take-Two,646.95475,664.2418,637.73499,123.5,126.8,121.74,0.72,0.59,3.58M,1586980799
72,Dollar Tree,409.07446500000003,411.798485,401.16433,78.09,78.61,76.58,-1.79,-2.24,1.73M,1586980799
73,Align,962.993455,978.918495,949.059045,183.83,186.87,181.17,-6.17,-3.25,920.45K,1586980799
74,ANSYS,1330.47423,1344.251485,1306.37713,253.98,256.61,249.38,-0.82,-0.32,498.90K,1586980799
75,Biomarin Pharma,431.44286,443.334255,431.18093500000003,82.36,84.63,82.31,-3.39,-3.95,1.33M,1586980799
76,Charter Communications,2599.97232,2608.66823,2485.87779,496.32,497.98,474.54,6.75,1.38,1.04M,1586980799
77,CoStar,3359.083355,3426.5028500000003,3334.4624049999998,641.23,654.1,636.53,-3.72,-0.58,160.84K,1586980799
78,IDEXX Labs,1350.59007,1367.0913450000003,1316.01597,257.82,260.97,251.22,-5.19,-1.97,443.95K,1586980799
79,Incyte,476.44157500000006,480.84191500000003,465.85980500000005,90.95,91.79,88.93,-0.33,-0.36,1.64M,1586980799
80,Liberty Global C,89.57835000000001,90.04981500000001,87.69248999999999,17.1,17.19,16.74,-0.29,-1.67,3.67M,1586980799
81,MercadoLibre,3083.59064,3121.3078400000004,2833.50465,588.64,595.84,540.9,26.62,4.74,667.03K,1586980799
82,T-Mobile US,463.81679,468.269515,456.27335,88.54,89.39,87.1,-1.08,-1.21,5.80M,1586980799
83,Facebook,927.057345,933.448315,905.31757,176.97,178.19,172.82,-1.2,-0.67,17.42M,1586980799
84,Willis Towers Watson,972.5275250000001,1017.473855,964.72216,185.65,194.23,184.16,-11.35,-5.76,1.08M,1586980799
85,Splunk,683.83379,696.458575,677.390435,130.54,132.95,129.31,-2.38,-1.79,1.67M,1586980799
86,Workday,765.187695,774.14553,756.3870149999999,146.07,147.78,144.39,-3.38,-2.26,3.05M,1586980799
87,Mondelez,281.35983500000003,282.72184500000003,279.7359,53.71,53.97,53.4,-0.8,-1.47,7.34M,1586980799
88,Skyworks,486.499495,492.10469,472.04123500000003,92.87,93.94,90.11,-2.82,-2.95,2.00M,1586980799
89,Lululemon Athletica,1089.346075,1092.2272500000001,1045.6046,207.95,208.5,199.6,2.77,1.35,1.89M,1586980799
90,Regeneron Pharma,2680.488065,2761.21335,2674.25425,511.69,527.1,510.5,-13.15,-2.51,837.22K,1586980799
91,ASML ADR,1479.823865,1490.5627900000002,1440.849425,282.49,284.54,275.05,-6.44,-2.23,1.49M,1586980799
92,Copart,367.166465,372.77166,358.47055500000005,70.09,71.16,68.43,-1.05,-1.48,1.66M,1586980799
93,Synopsys,765.711545,774.721765,755.81078,146.17,147.89,144.28,-1.26,-0.85,931.97K,1586980799
94,Ulta Beauty,1055.66252,1058.1770000000001,1017.9977050000001,201.52,202.0,194.33,-3.48,-1.7,972.17K,1586980799
95,Verisk,770.740505,778.598255,765.03054,147.13,148.63,146.04,-3.17,-2.11,722.31K,1586980799
96,CDW Corp,543.12768,551.875975,536.5271700000001,103.68,105.35,102.42,-3.07,-2.88,698.04K,1586980799
97,American Airlines,64.381165,66.476565,59.666515000000004,12.29,12.69,11.39,0.34,2.89,124.72M,1586980799
98,Alphabet C,6613.449095,6707.689710000001,6497.835400000001,1262.47,1280.46,1240.4,-6.76,-0.53,1.67M,1586980799
99,JD.com Inc Adr,233.6371,242.85686,227.717595,44.6,46.36,43.47,0.74,1.69,22.86M,1586980799
100,PayPal Holdings Inc,565.496075,571.467965,557.48117,107.95,109.09,106.42,-1.83,-1.67,7.82M,1586980799
101,Fox Corp A,134.62945,135.51999500000002,130.75296,25.7,25.87,24.96,-0.81,-3.06,2.45M,1586980799
102,Fox Corp B,131.853045,132.27212500000002,128.605175,25.17,25.25,24.55,-0.84,-3.23,1.17M,1586980799
